Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,bloomington,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Library,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,source_name,SRA Study,Strain,time_of_harvesting,time_series_type,Tissue
SRR8522611,RNA-Seq,68,142037189,PRJNA518903,SAMN10862468,w1118,61536080,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324960,GSM3588226,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588226,w1118_gut_T=ZT23,SRP183194,w1118,T=ZT23,Time-series for w1118,whole gut
SRR8522612,RNA-Seq,68,127447939,PRJNA518903,SAMN10862467,w1118,55031287,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324961,GSM3588227,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588227,w1118_gut_T=ZT23,SRP183194,w1118,T=ZT23,Time-series for w1118,whole gut
SRR8522613,RNA-Seq,68,99778300,PRJNA518903,SAMN10862466,w1118,43064395,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324962,GSM3588228,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588228,w1118_gut_T=CT1,SRP183194,w1118,T=CT1,Time-series for w1118,whole gut
SRR8522614,RNA-Seq,68,219538896,PRJNA518903,SAMN10862465,w1118,94625648,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324963,GSM3588229,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588229,w1118_gut_T=CT1,SRP183194,w1118,T=CT1,Time-series for w1118,whole gut
SRR8522615,RNA-Seq,68,135121279,PRJNA518903,SAMN10862464,w1118,58146533,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324964,GSM3588230,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588230,w1118_gut_T=CT3,SRP183194,w1118,T=CT3,Time-series for w1118,whole gut
SRR8522616,RNA-Seq,68,249128110,PRJNA518903,SAMN10862463,w1118,108459413,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324965,GSM3588231,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588231,w1118_gut_T=CT3,SRP183194,w1118,T=CT3,Time-series for w1118,whole gut
SRR8522617,RNA-Seq,68,109259376,PRJNA518903,SAMN10862462,w1118,47154191,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324966,GSM3588232,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588232,w1118_gut_T=CT5,SRP183194,w1118,T=CT5,Time-series for w1118,whole gut
SRR8522618,RNA-Seq,68,407356837,PRJNA518903,SAMN10862461,w1118,176892316,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324967,GSM3588233,Illumina HiSeq 2500,BRB2_B,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588233,w1118_gut_T=CT5,SRP183194,w1118,T=CT5,Time-series for w1118,whole gut
SRR8522619,RNA-Seq,63,137998161,PRJNA518903,SAMN10862699,28233,64860090,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324930,GSM3588772,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588772,RAL-796_brain_T=ZT15,SRP183194,RAL-796,T=ZT15,Time-series for RAL-796,whole brain
SRR8522620,RNA-Seq,63,194413653,PRJNA518903,SAMN10862698,28233,90881508,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324931,GSM3588773,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588773,RAL-796_brain_T=ZT17,SRP183194,RAL-796,T=ZT17,Time-series for RAL-796,whole brain
SRR8522621,RNA-Seq,63,59775597,PRJNA518903,SAMN10862697,28233,28135989,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324932,GSM3588774,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588774,RAL-796_brain_T=ZT17,SRP183194,RAL-796,T=ZT17,Time-series for RAL-796,whole brain
SRR8522622,RNA-Seq,63,185978835,PRJNA518903,SAMN10862696,28233,86989112,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324933,GSM3588775,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588775,RAL-796_brain_T=ZT19,SRP183194,RAL-796,T=ZT19,Time-series for RAL-796,whole brain
SRR8522623,RNA-Seq,63,211075767,PRJNA518903,SAMN10862695,28233,99034821,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324934,GSM3588776,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588776,RAL-796_brain_T=ZT19,SRP183194,RAL-796,T=ZT19,Time-series for RAL-796,whole brain
SRR8522624,RNA-Seq,63,98154630,PRJNA518903,SAMN10862694,28233,46190992,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324935,GSM3588777,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588777,RAL-796_brain_T=ZT21,SRP183194,RAL-796,T=ZT21,Time-series for RAL-796,whole brain
SRR8522625,RNA-Seq,63,226796472,PRJNA518903,SAMN10862693,28233,105807172,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324936,GSM3588778,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588778,RAL-796_brain_T=ZT21,SRP183194,RAL-796,T=ZT21,Time-series for RAL-796,whole brain
SRR8522626,RNA-Seq,63,263565981,PRJNA518903,SAMN10862692,28233,123258524,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324937,GSM3588779,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588779,RAL-796_brain_T=ZT23,SRP183194,RAL-796,T=ZT23,Time-series for RAL-796,whole brain
SRR8522627,RNA-Seq,63,211996827,PRJNA518903,SAMN10862691,28233,99724063,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324938,GSM3588780,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588780,RAL-796_brain_T=CT1,SRP183194,RAL-796,T=CT1,Time-series for RAL-796,whole brain
SRR8522628,RNA-Seq,63,91203462,PRJNA518903,SAMN10862690,28233,42701948,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324939,GSM3588781,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588781,RAL-796_brain_T=CT1,SRP183194,RAL-796,T=CT1,Time-series for RAL-796,whole brain
SRR8522629,RNA-Seq,63,327978063,PRJNA518903,SAMN10862689,28233,153382187,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324940,GSM3588782,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588782,RAL-796_brain_T=CT3,SRP183194,RAL-796,T=CT3,Time-series for RAL-796,whole brain
SRR8522630,RNA-Seq,63,187646886,PRJNA518903,SAMN10862688,28233,87605041,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324941,GSM3588783,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588783,RAL-796_brain_T=CT3,SRP183194,RAL-796,T=CT3,Time-series for RAL-796,whole brain
SRR8522631,RNA-Seq,63,360038133,PRJNA518903,SAMN10862687,28233,168838627,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324942,GSM3588784,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588784,RAL-796_brain_T=CT5,SRP183194,RAL-796,T=CT5,Time-series for RAL-796,whole brain
SRR8522632,RNA-Seq,63,110041281,PRJNA518903,SAMN10862686,28233,51153491,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324943,GSM3588785,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588785,RAL-796_brain_T=CT5,SRP183194,RAL-796,T=CT5,Time-series for RAL-796,whole brain
SRR8522633,RNA-Seq,63,212771160,PRJNA518903,SAMN10862685,28233,99658298,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324944,GSM3588786,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588786,RAL-796_brain_T=CT7,SRP183194,RAL-796,T=CT7,Time-series for RAL-796,whole brain
SRR8522634,RNA-Seq,63,192398220,PRJNA518903,SAMN10862684,28233,89639522,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324945,GSM3588787,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588787,RAL-796_brain_T=CT7,SRP183194,RAL-796,T=CT7,Time-series for RAL-796,whole brain
SRR8522635,RNA-Seq,63,45619875,PRJNA518903,SAMN10862683,28233,21494852,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324946,GSM3588788,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,1,GSM3588788,RAL-796_brain_T=CT9,SRP183194,RAL-796,T=CT9,Time-series for RAL-796,whole brain
SRR8522636,RNA-Seq,63,66083283,PRJNA518903,SAMN10862682,28233,30778110,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5324947,GSM3588789,Illumina HiSeq 2500,BRB1_D,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2020-12-23T00:00:00Z,2,GSM3588789,RAL-796_brain_T=CT9,SRP183194,RAL-796,T=CT9,Time-series for RAL-796,whole brain
